         958227 function calls (954979 primitive calls) in 154.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    154/1    0.001    0.000  154.867  154.867 {built-in method builtins.exec}
        1    0.000    0.000  154.867  154.867 main.py:1(<module>)
        1    0.121    0.121  154.359  154.359 main.py:98(main)
      666  120.974    0.182  120.981    0.182 interpreter.py:928(invoke)
      666   17.427    0.026   17.427    0.026 {waitKey}
      666    1.275    0.002    8.291    0.012 main.py:13(process_image)
      666    0.016    0.000    4.349    0.007 Image.py:2096(resize)
      666    4.313    0.006    4.313    0.006 {method 'resize' of 'ImagingCore' objects}
      666    2.366    0.004    2.366    0.004 {method 'write' of 'cv2.VideoWriter' objects}
     3130    0.086    0.000    2.071    0.001 main.py:84(draw_box)
     3130    0.034    0.000    1.737    0.001 ImageDraw.py:449(text)
      666    0.239    0.000    1.536    0.002 main.py:25(post_process)
     1450    0.876    0.001    1.497    0.001 {built-in method numpy.array}
     3996    0.022    0.000    1.245    0.000 fromnumeric.py:53(_wrapfunc)
     3130    0.057    0.000    1.227    0.000 ImageDraw.py:498(draw_text)
     3130    0.023    0.000    1.125    0.000 ImageFont.py:481(getmask2)
    43428    0.570    0.000    1.103    0.000 main.py:65(calc_iou)
     3130    1.023    0.000    1.065    0.000 {method 'render' of 'Font' objects}
       24    0.002    0.000    0.938    0.039 __init__.py:1(<module>)
      666    0.005    0.000    0.876    0.001 fromnumeric.py:3269(round)
      666    0.864    0.001    0.864    0.001 {method 'round' of 'numpy.ndarray' objects}
     1332    0.016    0.000    0.621    0.000 Image.py:668(__array_interface__)
     1332    0.038    0.000    0.570    0.000 Image.py:3037(fromarray)
     1332    0.105    0.000    0.569    0.000 Image.py:708(tobytes)
     1332    0.012    0.000    0.527    0.000 Image.py:2980(frombuffer)
    221/6    0.004    0.000    0.510    0.085 <frozen importlib._bootstrap>:1022(_find_and_load)
    221/6    0.002    0.000    0.510    0.085 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    298/7    0.001    0.000    0.507    0.072 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    205/7    0.002    0.000    0.506    0.072 <frozen importlib._bootstrap>:664(_load_unlocked)
    151/7    0.001    0.000    0.505    0.072 <frozen importlib._bootstrap_external>:877(exec_module)
     1332    0.016    0.000    0.501    0.000 Image.py:2942(frombytes)
3395/3177    0.019    0.000    0.406    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
   390/16    0.001    0.000    0.383    0.024 {built-in method builtins.__import__}
   187887    0.379    0.000    0.381    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.361    0.361 interpreter.py:1(<module>)
      666    0.004    0.000    0.352    0.001 fromnumeric.py:2100(clip)
